Minute	Commentary
77	RED-CARD! - After reviewing the game, the referee decides to change the originally given yellow card for Andrew Robertson from Liverpool to a red card.
77	VAR - CARD ! - The referee has stopped the play. VAR check in progress, a potential card situation.
76	The card for Andrew Robertson from Liverpool was disallowed via VAR intervention
76	The play is stopped. The players are pushing and shouting at each-other, the referee should take action.
76	Reckless challenge there. Andrew Robertson commits a rough foul on Emerson Royal
75	Ball possession: Tottenham: 36%, Liverpool: 64%.
74	With that goal, Tottenham equalised. Game on!
74	GOOOOOAAL! - Heung-Min Son finds the net with the left foot!
74	Alisson Becker could cost his team a goal after a defensive blunder.
74	Could be a good chance here as Harry Winks from Tottenham cuts the opponents defense open with a through ball...
74	Tottenham is in control of the ball.
73	Joel Matip relieves the pressure with a clearance
73	Poor play by Naby Keita as his weak attempt to clear the ball puts his side under pressure
73	Ryan Sessegnon puts in a cross...
73	The referee signals a free kick as Diogo Jota from Liverpool trips Dele Alli
73	Tottenham take a throw-in at the right side of the pitch in their own half of the field
72	The game is restarted.
71	Andrew Robertson is down injured and receives medical attention on the field.
71	Play has been stopped because there is a player lying on the pitch.
70	Ball possession: Tottenham: 34%, Liverpool: 66%.
69	Trent Alexander-Arnold provided the assist for the goal.
69	GOOOOOAAL! - Andrew Robertson from Liverpool heads the ball from close range into the net.
69	Trent Alexander-Arnold from Liverpool directs a ball squarely in the box.
69	Mohamed Salah from Liverpool heads towards goal but sees his effort blocked.
69	Diogo Jota from Liverpool makes an aerial pass to a team mate.
69	Liverpool with a potentially dangerous attack.
69	Liverpool is in control of the ball.
69	Tottenham is in control of the ball.
68	Tottenham take a throw-in at the left side of the pitch in the opponent's half of the field
68	Harry Kane from Tottenham directs a ball squarely in the box, but it's intercepted by an opponent player.
68	Tottenham with a potentially dangerous attack.
67	Tottenham take a throw-in at the left side of the pitch in the opponent's half of the field
66	Tottenham plays a short goal kick.
66	Sadio Mane from Liverpool crosses the ball, but it goes out for a goal kick.
66	Sadio Mane from Liverpool takes the ball forward trying to make something happen...
65	Liverpool take a throw-in at the right side of the pitch in the opponent's half of the field
65	Tottenham take a throw-in at the left side of the pitch in their own half of the field
65	Ball possession: Tottenham: 34%, Liverpool: 66%.
64	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
64	Tanguy Ndombele is leaving the field to be replaced by Oliver Skipp in a tactical substitution.
63	Liverpool is in control of the ball.
63	Harry Kane from Tottenham directs the ball behind the defence, but it's intercepted by an opponent player.
63	Sadio Mane is penalised for pushing Davinson Sanchez.
63	Tottenham take a throw-in at the right side of the pitch in their own half of the field
62	The referee signals a free kick as Dele Alli from Tottenham trips Trent Alexander-Arnold
62	Tottenham plays a short goal kick.
61	A shot by Naby Keita is blocked.
61	Poor play by Tanguy Ndombele as his weak attempt to clear the ball puts his side under pressure
61	Andrew Robertson from Liverpool swings in the corner from the left.
61	Tanguy Ndombele clears the danger but is forced to give away a corner...
61	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
61	A shot by James Milner is blocked.
60	Eric Dier relieves the pressure with a clearance
60	Andrew Robertson swings in a cross from the free kick.
60	Tyler Morton is leaving the field to be replaced by Roberto Firmino in a tactical substitution.
60	The referee signals a free kick as Tanguy Ndombele from Tottenham trips Sadio Mane
60	Ball possession: Tottenham: 33%, Liverpool: 67%.
59	A shot by Mohamed Salah is blocked.
59	Diogo Jota of Liverpool passes the ball to a team mate.
59	Liverpool is in control of the ball.
58	After a tactical foul, Ben Davies sees no other way than stopping the counter and receives a yellow card.
58	Ben Davies from Tottenham goes a bit too far there as the pulls down Mohamed Salah
58	Liverpool start a counter attack.
57	Safe hands from Hugo Lloris as he comes out and claims the ball
57	Sadio Mane puts in a cross...
57	Liverpool plays a short goal kick.
56	What a miss! Harry Kane has a great opportunity to score, but sends his header wide of goal!
56	Poor play by Sadio Mane as his weak attempt to clear the ball puts his side under pressure
56	Heung-Min Son from Tottenham swings in the corner from the left.
55	Joel Matip clears the danger but is forced to give away a corner...
55	Heung-Min Son puts in a cross...
55	Tottenham is trying to create something here.
55	Harry Kane has a great chance to score, but Alisson Becker comes out strongly to save!
55	Dele Alli from Tottenham directs a ball squarely in the box.
55	Tottenham with a potentially dangerous attack.
55	Ball possession: Tottenham: 32%, Liverpool: 68%.
54	Harry Kane from Tottenham directs the ball behind the defence, but the keeper reads the play well and comes to claim it
54	Tottenham start a counter attack.
54	Diogo Jota from Liverpool had a bad first touch and fails to take advantage of the situation.
54	Joel Matip of Liverpool passes the ball to a team mate.
54	Great skill from Joel Matip as he dribbles past his opponents
54	Tottenham take a throw-in at the right side of the pitch in their own half of the field
53	Liverpool is in control of the ball.
52	Andrew Robertson relieves the pressure with a clearance
52	Heung-Min Son from Tottenham takes a short corner kick from the right.
52	Emerson Royal from Tottenham tries to pick out a team-mate in the area but his cross is blocked by an opponent.
52	Tottenham is trying to create something here.
51	Tottenham take a throw-in at the right side of the pitch in the opponent's half of the field
51	Tottenham take a throw-in at the right side of the pitch in the opponent's half of the field
51	Tottenham take a throw-in at the right side of the pitch in the opponent's half of the field
50	Tottenham is in control of the ball.
50	Sadio Mane from Liverpool is ruled offside.
50	A shot by Naby Keita is blocked.
50	Ball possession: Tottenham: 30%, Liverpool: 70%.
50	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
49	Hugo Lloris relieves the pressure with a clearance
49	Diogo Jota from Liverpool directs the ball behind the defence, but it's intercepted by an opponent player.
49	A shot by Harry Kane is blocked.
48	Emerson Royal of Tottenham passes the ball to a team mate.
48	Tottenham start a counter attack.
48	Tottenham take a throw-in at the left side of the pitch in their own half of the field
48	Tottenham plays a short goal kick.
48	Diogo Jota directs a header agonizingly wide of the post. So nearly a goal!
48	Trent Alexander-Arnold puts in a cross...
47	After a tactical foul, Harry Winks sees no other way than stopping the counter and receives a yellow card.
47	Harry Winks from Tottenham goes a bit too far there as the pulls down Diogo Jota
47	Ryan Sessegnon hand-balls.
46	The referee signals a free kick as Diogo Jota from Liverpool trips Tanguy Ndombele
46	The second half is underway.
49	It's over! The referee blows for half time
49	Ball possession: Tottenham: 30%, Liverpool: 70%.
49	How did he miss that? Harry Kane has a wonderful chance to score but somehow manages to miss the target!
49	Ryan Sessegnon of Tottenham passes the ball to a team mate.
49	Tottenham with a potentially dangerous attack.
48	The referee signals a free kick as Ibrahima Konate from Liverpool trips Heung-Min Son
48	James Milner from Liverpool passes the ball in the box, but it's intercepted by an opponent player.
48	Naby Keita of Liverpool passes the ball to a team mate.
48	Liverpool is trying to create something here.
48	Heung-Min Son from Tottenham had a bad first touch and fails to take advantage of the situation.
48	Could be a good chance here as Harry Winks from Tottenham cuts the opponents defense open with a through ball...
47	Liverpool take a throw-in at the right side of the pitch in the opponent's half of the field
46	Goal kick for Tottenham.
46	The fourth official shows there are 3 minute(s) of time to be added.
45	Trent Alexander-Arnold from Liverpool crosses the ball but it is nowhere near the intended target.
45	Ball possession: Tottenham: 31%, Liverpool: 69%.
45	Goal kick for Tottenham.
44	A chance presents itself to Diogo Jota from Liverpool but his header goes wide
44	Trent Alexander-Arnold swings in a cross from the free kick.
43	Dangerous challenge by Dele Alli from Tottenham. Trent Alexander-Arnold on the receiving end of that.
43	Liverpool take a throw-in at the right side of the pitch in the opponent's half of the field
43	Liverpool are piling the pressure on and look like scoring anytime
43	Trent Alexander-Arnold releases a shot, it's parried by Hugo Lloris but he can't hold onto it...
43	Sadio Mane puts in a cross...
42	Trent Alexander-Arnold from Liverpool makes an aerial pass in the box, but it's intercepted by an opponent player.
42	Diogo Jota from Liverpool makes a good pass into the box, but his team mates fail to take advantage of the space
42	Could be a good chance here as Ibrahima Konate from Liverpool cuts the opponents defense open with a through ball...
42	Ben Davies relieves the pressure with a clearance
42	Trent Alexander-Arnold puts in a cross...
42	Trent Alexander-Arnold from Liverpool takes a short corner kick from the right.
42	Sadio Mane from Liverpool sees his pass blocked by an opponent.
41	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
41	Andrew Robertson from Liverpool tries to pick out a team-mate in the area but his cross is blocked by an opponent.
41	Sadio Mane from Liverpool passes the ball in the box, but it's intercepted by an opponent player.
41	Andrew Robertson of Liverpool passes the ball to a team mate.
41	A shot by Mohamed Salah is blocked.
41	Liverpool with a potentially dangerous attack.
41	The referee signals a free kick as Naby Keita from Liverpool trips Ben Davies
40	Tottenham plays a short goal kick.
40	Andrew Robertson from Liverpool tries to pass the ball to a teammate, but its nowehere near the intended target.
40	Ben Davies relieves the pressure with a clearance
40	Andrew Robertson puts in a cross...
40	Ball possession: Tottenham: 32%, Liverpool: 68%.
39	The referee is not having the complaints from Juergen Klopp who is given a yellow card for dissent
39	Emerson Royal is penalised for pushing Sadio Mane.
38	Liverpool take a throw-in at the right side of the pitch in their own half of the field
38	Joel Matip relieves the pressure with a clearance
38	A header from Davinson Sanchez is blocked by the keeper and bounces back into play!
38	Heung-Min Son from Tottenham swings in the corner from the left.
37	Ryan Sessegnon from Tottenham tries to pick out a team-mate in the area but his cross is blocked by an opponent.
37	Alisson Becker could cost his team a goal after a defensive blunder.
37	Diogo Jota from Liverpool had a bad first touch and fails to take advantage of the situation.
37	Sadio Mane from Liverpool makes a great pass and space opens up...
37	Liverpool is trying to create something here.
36	Tottenham is in control of the ball.
35	With that goal, Liverpool equalised. Game on!
35	Andrew Robertson provided the assist for the goal.
35	GOOOOOAAL! - Diogo Jota from Liverpool heads the ball home!
35	Andrew Robertson from Liverpool makes an aerial pass to a team mate.
35	Sadio Mane from Liverpool passes the ball in the box, but it's intercepted by an opponent player.
35	Liverpool with a potentially dangerous attack.
35	Ball possession: Tottenham: 30%, Liverpool: 70%.
34	Dele Alli is penalised for pushing Naby Keita.
34	Safe hands from Alisson Becker as he comes out and claims the ball
34	Harry Kane puts in a cross...
34	Dele Alli from Tottenham takes the ball forward trying to make something happen...
34	Tottenham start a counter attack.
33	Andrew Robertson from Liverpool directs the ball behind the defence, but the keeper reads the play well and comes to claim it
32	Andrew Robertson from Liverpool makes an aerial pass in the box, but it's intercepted by an opponent player.
32	Liverpool is trying to create something here.
31	Safe hands from Alisson Becker as he comes out and claims the ball
31	Dele Alli puts in a cross...
31	Tottenham take a throw-in at the right side of the pitch in the opponent's half of the field
30	Andrew Robertson relieves the pressure with a clearance
30	Heung-Min Son from Tottenham swings in the corner from the right.
30	Ball possession: Tottenham: 31%, Liverpool: 69%.
30	Should have been a goal! Dele Alli gets a great chance to score, but his effort is turned behind by Alisson Becker!
30	Heung-Min Son carves the opponent's defense open with a killer through-ball
29	Tottenham start a counter attack.
29	Tottenham plays a short goal kick.
29	A chance presents itself to Sadio Mane from Liverpool but his header goes wide
29	Andrew Robertson puts in a cross...
28	Yellow card for Emerson Royal.
28	The referee signals a free kick as Emerson Royal from Tottenham trips Sadio Mane
27	A shot by James Milner is blocked.
27	Dele Alli relieves the pressure with a clearance
27	Trent Alexander-Arnold swings in a cross from the free kick.
27	Dele Alli is penalised for pushing James Milner.
26	Liverpool take a throw-in at the right side of the pitch in their own half of the field
25	Goal kick for Tottenham.
25	Ball possession: Tottenham: 33%, Liverpool: 67%.
24	A chance presents itself to Joel Matip from Liverpool but his header goes wide
24	James Milner puts in a cross...
24	Dele Alli relieves the pressure with a clearance
24	Trent Alexander-Arnold puts in a cross...
24	Dele Alli relieves the pressure with a clearance
24	Trent Alexander-Arnold from Liverpool swings in the corner from the right.
24	Naby Keita forces a good save from Hugo Lloris who turns the ball behind for a corner!
24	A shot by Sadio Mane is blocked.
23	Emerson Royal could cost his team a goal after a defensive blunder.
23	After a tactical foul, Tyler Morton sees no other way than stopping the counter and receives a yellow card.
23	The referee signals a free kick as Tyler Morton from Liverpool trips Harry Winks
23	Tottenham start a counter attack.
23	Mohamed Salah from Liverpool makes an aerial pass in the box, but it's intercepted by an opponent player.
23	Liverpool with a potentially dangerous attack.
22	Tottenham take a throw-in at the left side of the pitch in their own half of the field
21	Tottenham take a throw-in at the left side of the pitch in their own half of the field
21	Liverpool is in control of the ball.
20	Ball possession: Tottenham: 34%, Liverpool: 66%.
20	Harry Kane commits a rough foul on an opponent and goes into the referee's book.
19	Dangerous challenge by Harry Kane from Tottenham. Andrew Robertson on the receiving end of that.
19	What a game! We are witnessing intense and high quality play from both sides.
19	Mohamed Salah from Liverpool makes an aerial pass in the box, but the keeper comes out and claims it.
19	Liverpool with a potentially dangerous attack.
19	Safe hands from Hugo Lloris as he comes out and claims the ball
19	Sadio Mane from Liverpool had a bad first touch and fails to take advantage of the situation.
19	Trent Alexander-Arnold puts in a cross...
18	Safe hands from Alisson Becker as he comes out and claims the ball
18	Heung-Min Son from Tottenham had a bad first touch and fails to take advantage of the situation.
18	CHANCE! Heung-Min Son finds himself in a 1 on 1 situation with the keeper...
18	Could be a good chance here as Harry Kane from Tottenham cuts the opponents defense open with a through ball...
18	Tottenham start a counter attack.
17	Great defending by Davinson Sanchez from Tottenham to prevent his team conceding a goal.
17	Danger averted there as Davinson Sanchez from Tottenham clears the danger with a good tackle
17	Trent Alexander-Arnold puts in a cross...
17	Liverpool take a throw-in at the right side of the pitch in the opponent's half of the field
17	Liverpool plays a short goal kick.
16	How did he miss that? Heung-Min Son has a wonderful chance to score but somehow manages to miss the target!
16	Harry Kane from Tottenham makes a great pass and space opens up...
16	Harry Kane from Tottenham takes the ball forward trying to make something happen...
16	Tottenham start a counter attack.
16	Andrew Robertson from Liverpool tries to pick out a team-mate in the area but his cross is blocked by an opponent.
16	Liverpool is trying to create something here.
16	Tottenham take a throw-in at the left side of the pitch in their own half of the field
15	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
15	Ball possession: Tottenham: 41%, Liverpool: 59%.
14	Tottenham managed to score the important first goal. Will they build on that?
13	Tanguy Ndombele provided the assist for the goal.
13	GOOOOOAAL! - Harry Kane scores with the right foot!
13	Tanguy Ndombele carves the opponent's defense open with a killer through-ball
13	Dele Alli from Tottenham directs the ball behind the defence, but it's intercepted by an opponent player.
13	Dele Alli from Tottenham takes the ball forward trying to make something happen...
13	Great defending by Ibrahima Konate from Liverpool to prevent his team conceding a goal.
13	Harry Kane has a great chance to score, but fails to score as his effort is blocked!
13	Emerson Royal puts in a cross...
13	Tottenham with a potentially dangerous attack.
12	Liverpool take a throw-in at the right side of the pitch in the opponent's half of the field
11	Davinson Sanchez relieves the pressure with a clearance
11	Tyler Morton puts in a cross...
11	Dele Alli relieves the pressure with a clearance
11	Trent Alexander-Arnold from Liverpool swings in the corner from the right.
10	It's a good hit from long range by Trent Alexander-Arnold who forces a save from Hugo Lloris. Corner kick.
10	Davinson Sanchez relieves the pressure with a clearance
10	Andrew Robertson puts in a cross...
10	James Milner from Liverpool directs the ball behind the defence, but it's intercepted by an opponent player.
10	Davinson Sanchez relieves the pressure with a clearance
10	Mohamed Salah puts in a cross...
10	Ball possession: Tottenham: 32%, Liverpool: 68%.
10	Danger averted there as Naby Keita from Liverpool clears the danger with a good tackle
10	Tottenham start a counter attack.
9	Liverpool is in control of the ball.
9	Tanguy Ndombele from Tottenham directs the ball behind the defence, but it's intercepted by an opponent player.
8	Dele Alli from Tottenham is ruled offside.
8	Tottenham plays a short goal kick.
7	Liverpool is trying to create something here.
7	Tottenham is in control of the ball.
6	Liverpool take a throw-in at the right side of the pitch in the opponent's half of the field
6	Hugo Lloris relieves the pressure with a clearance
6	Tyler Morton from Liverpool directs the ball behind the defence, but it's intercepted by an opponent player.
6	Tottenham take a throw-in at the right side of the pitch in the opponent's half of the field
5	Heung-Min Son from Tottenham is ruled offside.
5	Ball possession: Tottenham: 33%, Liverpool: 67%.
5	Alisson Becker relieves the pressure with a clearance
5	Heung-Min Son from Tottenham swings in the corner from the left.
4	Trent Alexander-Arnold clears the danger but is forced to give away a corner...
4	Eric Dier swings in a cross from the free kick.
3	The referee signals a free kick as Naby Keita from Liverpool trips Harry Winks
3	Sadio Mane is penalised for pushing Emerson Royal.
2	James Milner from Liverpool tries a long distance effort. The shot is helped on by an awkward deflection but Hugo Lloris is alert and saves it.
2	Liverpool with a potentially dangerous attack.
2	Goal kick for Tottenham.
2	A chance presents itself to Andrew Robertson from Liverpool but his header goes wide
2	Trent Alexander-Arnold from Liverpool chips the ball into the penalty box.
1	Liverpool is trying to create something here.
1	Liverpool take a throw-in at the left side of the pitch in the opponent's half of the field
1	The pitch is in fantastic condition today and the players are enjoying the surface.
1	Welcome to tonights game where the floodlight surrounds the pitch.
1	Tottenham kick-off, and the game is underway.The referee starts the match.Welcome to Tottenham Hotspur Stadium, the match will start in about 5 minutes.Less commentary
93	That's it! The referee blows the final whistle
93	Today's attendance is 52127.
93	Ball possession: Newcastle United: 28%, Manchester City: 72%.
92	Manchester City take a throw-in at the left side of the pitch in the opponent's half of the field
92	Callum Wilson from Newcastle United is ruled offside.
91	The fourth official shows there are 2 minute(s) of time to be added.
91	Safe hands from Martin Dubravka as he comes out and claims the ball
91	Joao Cancelo puts in a cross...
90	Manchester City take a throw-in at the right side of the pitch in the opponent's half of the field
90	Ball possession: Newcastle United: 28%, Manchester City: 72%.
90	Jamaal Lascelles relieves the pressure with a clearance
90	Joao Cancelo puts in a cross...
89	The keeper from Newcastle United comes out and claims the ball.
89	Oh no. From a promising position Cole Palmer from Manchester City miskicks completely. Opportunity wasted.
89	Cole Palmer from Manchester City had a bad first touch and fails to take advantage of the situation.
89	A chance opens up as Raheem Sterling from Manchester City successfully finds a team mate in the area...
89	Fernandinho from Manchester City sends a deflected cross into the box.
89	Manchester City is in control of the ball.
88	Manchester City is trying to create something here.
87	Manchester City is in control of the ball.
86	Gabriel Jesus provided the assist for the goal.
86	GOOOOOAAL! - Raheem Sterling from Manchester City taps the ball in with the left! An easy finish for Raheem Sterling
86	Gabriel Jesus from Manchester City successfully directs a ball squarely in the box and finds a team mate.
86	Great skill from Gabriel Jesus as he dribbles past his opponents
86	Gabriel Jesus from Manchester City takes the ball forward trying to make something happen...
85	Ball possession: Newcastle United: 29%, Manchester City: 71%.
85	Manchester City is in control of the ball.
84	Newcastle United take a throw-in at the right side of the pitch in the opponent's half of the field
84	Allan Saint-Maximin from Newcastle United takes the ball forward trying to make something happen...
84	Manchester City is in control of the ball.
83	Manchester City plays a short goal kick.
82	Allan Saint-Maximin fails to find the target with a shot from outside the box
82	Manchester City plays a short goal kick.
82	Matt Ritchie from Newcastle United crosses the ball, but it goes out for a goal kick.
82	Ryan Fraser from Newcastle United takes a short corner kick from the right.
81	Callum Wilson finds himself in acres of space, but his header is turned behind by the Ederson Moraes! Corner kick...
81	Ryan Fraser puts in a cross...
81	Poor play by Ederson Moraes as his weak attempt to clear the ball puts his side under pressure
81	Matt Ritchie swings in a cross from the free kick.
80	Joao Cancelo is penalised for pushing Allan Saint-Maximin.
80	Miguel Almiron is leaving the field to be replaced by Jeff Hendrick in a tactical substitution.
80	Ball possession: Newcastle United: 28%, Manchester City: 72%.
79	Ryan Fraser from Newcastle United is ruled offside.
79	Oleksandr Zinchenko from Manchester City is ruled offside.
78	Manchester City is trying to create something here.
77	Manchester City is in control of the ball.
77	Newcastle United start a counter attack.
77	Riyad Mahrez is leaving the field to be replaced by Cole Palmer in a tactical substitution.
76	The referee signals a free kick as Joelinton from Newcastle United trips Fernandinho
76	Newcastle United is in control of the ball.
75	Ball possession: Newcastle United: 29%, Manchester City: 71%.
75	Manchester City take a throw-in at the left side of the pitch in their own half of the field
74	Newcastle United take a throw-in at the left side of the pitch in their own half of the field
74	Manchester City take a throw-in at the right side of the pitch in the opponent's half of the field
73	Manchester City is in control of the ball.
73	Manchester City is in control of the ball.
72	Manchester City is in control of the ball.
72	Callum Wilson from Newcastle United is ruled offside.
71	Newcastle United take a throw-in at the right side of the pitch in the opponent's half of the field
71	Goal kick for Newcastle United.
71	The captain is forced to give away his armband, because he is leaving the field.
70	Ruben Dias is leaving the field to be replaced by John Stones in a tactical substitution.
70	Ball possession: Newcastle United: 29%, Manchester City: 71%.
70	A chance presents itself to Riyad Mahrez from Manchester City but his header goes wide
70	Gabriel Jesus from Manchester City successfuly makes an aerial pass to a team mate.
70	Kevin De Bruyne sends a long ball upfield.
70	Manchester City start a counter attack.
70	Ryan Fraser from Newcastle United directs a ball squarely in the box, but Ederson Moraes runs out to collect the ball
70	Danger! Allan Saint-Maximin from Newcastle United successfully directs the ball behind the defence and finds a team mate...
69	Great skill from Allan Saint-Maximin as he dribbles past his opponents
69	Fernandinho relieves the pressure with a clearance
69	Ryan Fraser from Newcastle United swings in the corner from the left.
69	Joelinton from Newcastle United tries to pick out a team-mate in the area but his cross is blocked by an opponent.
68	Goal kick for Newcastle United.
68	Rodri is leaving the field to be replaced by Fernandinho in a tactical substitution.
68	A chance presents itself to Ruben Dias from Manchester City but his header goes wide
68	Riyad Mahrez from Manchester City successfuly makes an aerial pass to a team mate.
68	A chance opens up as Raheem Sterling from Manchester City successfully finds a team mate in the area...
68	Great skill from Raheem Sterling as he dribbles past his opponents
68	Joelinton relieves the pressure with a clearance
67	Riyad Mahrez from Manchester City swings in the corner from the right.
67	Ciaran Clark clears the danger but is forced to give away a corner...
67	Kevin De Bruyne puts in a cross...
67	Manchester City is in control of the ball.
66	Ball possession: Newcastle United: 29%, Manchester City: 71%.
66	Newcastle United take a throw-in at the right side of the pitch in their own half of the field
65	GOAL STANDS! - After reviewing the situation, the referee decides that the goal for Manchester City stands.
64	VAR - GOAL! - The referee has stopped the play. VAR check in progress, pending goal situation.
63	Oleksandr Zinchenko provided the assist for the goal.
63	GOOOOOAAL! - Riyad Mahrez volleys the ball into the back of the net with the left. A great finish!
63	Oleksandr Zinchenko puts in a cross...
63	Joao Cancelo from Manchester City makes an aerial pass in the box, but it's intercepted by an opponent player.
63	Danger! Riyad Mahrez from Manchester City successfully directs the ball behind the defence and finds a team mate...
63	Manchester City is in control of the ball.
62	Manchester City with a potentially dangerous attack.
61	Goal kick for Newcastle United.
61	Isaac Hayden is leaving the field to be replaced by Sean Longstaff in a tactical substitution.
60	Joao Cancelo from Manchester City sends an effort wide of target
60	Danger! Kevin De Bruyne from Manchester City successfully directs the ball behind the defence and finds a team mate...
60	Kevin De Bruyne from Manchester City takes the ball forward trying to make something happen...
60	Ball possession: Newcastle United: 33%, Manchester City: 67%.
59	Newcastle United take a throw-in at the right side of the pitch in the opponent's half of the field
59	Newcastle United take a throw-in at the right side of the pitch in their own half of the field
59	Newcastle United take a throw-in at the right side of the pitch in their own half of the field
58	Manchester City is in control of the ball.
58	Raheem Sterling releases a shot, it's parried by Martin Dubravka but he can't hold onto it...
58	Raheem Sterling from Manchester City takes the ball forward trying to make something happen...
57	The referee signals a free kick as Allan Saint-Maximin from Newcastle United trips Joao Cancelo
56	The match resumes with a drop ball.
56	Play has been stopped because there is a player lying on the pitch.
55	Goal kick for Newcastle United.
55	Ball possession: Newcastle United: 36%, Manchester City: 64%.
55	Raheem Sterling from Manchester City fails to connect properly on the volley and sends the ball wide of target
55	Ciaran Clark relieves the pressure with a clearance
55	Joao Cancelo puts in a cross...
55	Riyad Mahrez from Manchester City takes a short corner kick from the right.
54	A shot by Gabriel Jesus is blocked.
54	Danger! Kevin De Bruyne from Manchester City successfully directs the ball behind the defence and finds a team mate...
54	Manchester City with a potentially dangerous attack.
54	Gabriel Jesus from Manchester City passes the ball in the box, but Martin Dubravka comes out to smother the ball.
53	Rodri from Manchester City heads towards goal but sees his effort blocked.
53	Kevin De Bruyne from Manchester City swings in the corner from the left.
53	Gabriel Jesus finds himself in acres of space, but his header is turned behind by the Martin Dubravka! Corner kick...
53	Bernardo Silva from Manchester City successfully heads the ball to a team mate.
52	Joao Cancelo from Manchester City successfuly makes an aerial pass to a team mate.
52	Manchester City with a potentially dangerous attack.
51	Miguel Almiron from Newcastle United is ruled offside.
51	A shot by Kevin De Bruyne is blocked.
51	Danger! Riyad Mahrez from Manchester City successfully directs the ball behind the defence and finds a team mate...
50	Safe hands from Ederson Moraes as he comes out and claims the ball
50	Allan Saint-Maximin puts in a cross...
50	Ball possession: Newcastle United: 36%, Manchester City: 64%.
